S#,Name of Authors,Title of Research Paper,Journal Full Name,Name of Journal,IF,Source for verification,Year,Volume#,Page#,Category of Journal
183," ZA Chandio, FN Talpur, H Khan, GQ Khaskheli, HI Afridi","Online Preconcentration Using Surfactant Coated Alumina Modified with 1, 5-Diphenylthiocarbazone and Determination of Cadmium in Environmental Samples by Flame Atomic Absorption Spectrometry ",Analytical Letters,Analytical Letters ,0.982,http://www.tandf.co.uk/journals/titles/00032719.asp,2013,  46 (10),1562-1572 ,
184,"R. Sert, A. Hol, A. A. Kartal, A Akdogan, A. Elçi, J. A. Baig, U. Divrikli, L. Elçi, ","Simultaneous Solid Phase Chelate Extraction for Ultratrace Determination of Copper, Nickel, and Zinc by Microsample Injection System Coupled Flame Atomic Absorption Spectrometry",Analytical Letters,Analytical Letters ,0.982,http://www.tandf.co.uk/journals/titles/00032719.asp,2013,46(16),2570-2582,
185,"R. Sert, A. Höl, A. A. Kartal, A Akdo?an, A. Elçi, J. A. Baig, U. Divrikli, L. Elçi,  ","Simultaneous Solid Phase Chelate Extraction for Ultratrace Determination of Copper, Nickel, and Zinc by Microsample Injection System Coupled Flame Atomic Absorption Spectrometry",Analytical Letters,Analytical Letters (2013),0.982,http://www.tandf.co.uk/journals/titles/00032719.asp,2013,46(16),2570-2582,
186,"Samejo, M.Q.; Memon, S.; Bhanger, M.I. and Khan, K.M.",Comparison of chemical composition of Aerva Javanica seed essential oils obtained by different extraction methods,Pakistan Journal of Pharmaceutical Sciences,Pak. J. Pharm. Sci ,0.95,http://www.pjps.pk/authorsinfo.htm,2013,26(4),757-760,Y
187,"Samejo, M. Q., Memon, S., Bhanger, M. I. and Khan, K. M.",Comparison of Chemical Composition of Aerva javanica Seed Essential Oils Obtained by Different Extraction Methods.,Pakistan Journal of Pharmaceutical Sciences,Pakistan Journal of Pharmaceutical Sciences,0.95,http://www.pjps.pk/authorsinfo.htm,2013,26(4),757,Y
188,"J. A. Baig, T. G. Kazi, L Elci, H. I. Afridi, M. I. Khan, H. M. Naseer",Ultratrace Determination of Cr (VI) and Pb (II) by Microsample Injection System Flame Atomic Spectroscopy in Drinking Water and Treated and Untreated Industrial Effluents.,Journal of Analytical Methods in Chemistry,Journal of analytical methods in chemistry http://dx.doi.org/10.1016/j.chemosphere.2013.11.035,0.948,http://dx.doi.org/10.1016/j.chemosphere.2013.11.035,2013,58,1-8,
189,"J. A. Baig, T. G. Kazi, L Elci, H. I. Afridi, M. I. Khan, H. M. Naseer,  ",Ultratrace Determination of Cr (VI) and Pb (II) by Microsample Injection System Flame Atomic Spectroscopy in Drinking Water and Treated and Untreated Industrial Effluents,Journal of analytical methods in chemistry,Journal of analytical methods in chemistry http://dx.doi.org/10.1016/j.chemosphere.2013.11.035,0.948,NA,2013,,94,
190,"Kamran Abro, S. A. Mahesar, Seema Iqbal and Shahnaz Perveen.  ",Quantification of malachite green in fish feed samples utilizing liquid chromatography tandem mass spectrometry with monolithic column,Food Additives & Contaminants Part B-Surveillance,Food Additives and Contaminants ,0.914,http://www.tandfonline.com/openurl?genre=journal&issn=1939-3210,accepted,37,,
191,"Z. H. Shar, G. A. Sumbal, S. T. H. Sherazi, M. I. Bhanger, S. M. Nizamani, ",Natural co-occurrence of aflatoxins and deoxynivalenol in poultry feed samples,Food Additives & Contaminants Part B-Surveillance,Food Additt Contamin - Part B Accepted for publication,0.914,http://www.tandfonline.com/openurl?genre=journal&issn=1939-3210,2013,68),,
192,"Bhatti, A.A., Memon S. and Memon N",Synthesis and Dichromate Extraction Study of Calix[4]arene Derivative. ,Polycyclic Aromatic Compounds , Polycyclic Aromatic Compounds ,0.833,http://www.tandfonline.com/openurl?genre=journal&issn=1040-6638,2014,34 (2) ,"103-114, ",
193,Memon S. and Bhatti A.A,Arsenate and dichromate removal efficiency of a new calix[4]arene impregnated resin,Polycyclic Aromatic Compounds , Polycyclic Aromatic Compounds. ,0.833,http://www.tandfonline.com/openurl?genre=journal&issn=1040-6638,2014,34 (3)," 280–308, ",
194,"Serdar Sar?, Asl?han Arslan Kartal, Aydan Elçi, Abdullah Akdo?an, Aysen Höl, Ali N. Siyal, Latif Elçi,  ","Solid-phase chelate extractive preconcentration of heavy metal ions prior to their ultratrace determination by microsample injection system coupled flame atomic absorption spectrometry,",Acta Chimica Slovenica,Acta Chimica Slovenica,0.81,http://acta.chem-soc.si,2013,60(4),901-907,
195,"Khan, S., Soylak, M., Kazi, T.G",A simple ligandless microextraction method based on ionic liquid for the determination of trace cadmium in water and biological samples,Toxicological and Environmental Chemistry,Toxicological and Environmental Chemistry,0.723,NA,2013,"95,  7, ",1069–1079,
196,"Ali N. Siyal, Saima Q. Memon, Sajida Parveen, Mazhar I. Khaskheli and M.Y. Khuhawar,  ","Recycling of Expanded Polystyrene Waste: Synthesis of Novel Functional Polystyrene-Hydrazone Surface for Phenol Removal,",journal of Chemistry, Journal of Chemistry,0.622,http://www.hindawi.com/journals/jchem/2013/184356/,2013,, 1-8.    ,
197,"Arfana Mallah,  Amber R. Solangi,  Najma Memon,  Rabia A. Memon,  Muhammad Y. Khuhawar","Reversed-Phase Liquid Chromatographic Separation and Determination of Ni(II), Cu(II), Pd(II), and Ag(I) Using 2-Pyrrolecarboxaldehyde-4-phenylsemicarbazone as a Complexing Reagent",journal of Chemistry, Journal of Chemistry,0.622,http://www.hindawi.com/journals/jchem/2013/184356/,2013,http://dx.doi.org/10.1155/2013/184356,http://dx.doi.org/10.1155/2013/184356,
198,"Arfana Mallah,  Amber R. Solangi,  Najma Memon,  Rabia A. Memon,  Muhammad Y. Khuhawar","Reversed-Phase Liquid Chromatographic Separation and Determination of Ni(II), Cu(II), Pd(II), and Ag(I) Using 2-Pyrrolecarboxaldehyde-4-phenylsemicarbazone as a Complexing Reagent.",journal of Chemistry,J Chemistry   http://dx.doi.org/10.1155/2013/184356,0.622,http://www.hindawi.com/journals/jchem/2013/184356/,2013,http://dx.doi.org/10.1155/2013/184356,http://dx.doi.org/10.1155/2013/184356,
