,level,Passed,Department,Ann.Supp,Year,Gender
237,Master 16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR RURAL DEVELOPMENT STUDIES.csv,supply,2014,M
238,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR RURAL DEVELOPMENT STUDIES.csv,supply,2014,M
239,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR RURAL DEVELOPMENT STUDIES.csv,supply,2014,M
240,Ph.D ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR RURAL DEVELOPMENT STUDIES.csv,supply,2014,M
241,PGD ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE FOR RURAL DEVELOPMENT STUDIES.csv,supply,2014,M
243,Bachelor 14 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE OF ENVIRONMENTAL SCIENCES.csv,annual,2014,M
244,15 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE OF ENVIRONMENTAL SCIENCES.csv,annual,2014,M
245,16 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE OF ENVIRONMENTAL SCIENCES.csv,annual,2014,M
246,17 Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE OF ENVIRONMENTAL SCIENCES.csv,annual,2014,M
247,Master 16 Years of Edu. ,7,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE OF ENVIRONMENTAL SCIENCES.csv,annual,2014,M
248,Master (Hons) 16+ Years of Edu. ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE OF ENVIRONMENTAL SCIENCES.csv,annual,2014,M
249,M.Phil ,0,MAIN-CAMPUS-DEPARTMENT-WISE/CENTRE OF ENVIRONMENTAL SCIENCES.csv,annual,2014,M
